Compound	MC_POS_1_Salmonella	MC_POS_2_Salmonella	MC_POS_3_Salmonella	ME_POS_1_Salmonella	ME_POS_2_Salmonella	ME_POS_3_Salmonella	MF_POS_1_Salmonella	MF_POS_2_Salmonella	MF_POS_3_Salmonella	MJ_POS_1_Salmonella	MJ_POS_2_Salmonella	MJ_POS_3_Salmonella	MQ_POS_1_Salmonella	MQ_POS_2_Salmonella	MQ_POS_3_Salmonella	MR_POS_1_Salmonella	MR_POS_2_Salmonella	MR_POS_3_Salmonella	MV_POS_1_Salmonella	MV_POS_2_Salmonella	MV_POS_3_Salmonella	NH_POS_1_Control	NH_POS_2_Control	NH_POS_3_Control	NI_POS_1_Control	NI_POS_2_Control	NI_POS_3_Control	NJ_POS_1_Control	NJ_POS_2_Control	NJ_POS_3_Control	NK_POS_1_Control	NK_POS_2_Control	NK_POS_3_Control	NL_POS_1_Control	NL_POS_2_Control	NL_POS_3_Control	NM_POS_1_Control	NM_POS_2_Control	NM_POS_3_Control	NN_POS_1_Control	NN_POS_2_Control	NN_POS_3_Control	PRE_QC1_POS_1_QC	PRE_QC2_POS_1_QC	QC1_POS_1_QC	QC1_POS_2_QC	QC1_POS_3_QC	QC2_POS_1_QC	QC2_POS_2_QC	QC2_POS_3_QC
6.99_515.0866	17058.04582	11771.50281	18789.43505	37882.8527	37727.8527	40012.35199	13265.56388	26688.73964	15747.30015	0	4243.039772	9813.496871	64160.27688	52956.75763	43399.28417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.55_335.1252	10496.50492	9548.960392	20048.13091	0	0	5762.693133	10720.66924	5423.393801	7176.23393	0	0	0	8568.892437	13787.9251	21493.99258	0	13420.78679	1468.450691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.33_79.9573	32997.60617	23518.14546	29170.9561	9074.448658	9124.448658	8145.995903	15573.45705	2375.477179	1642.494836	19905.16925	24152.33317	21158.28	25772.73295	14760.89889	0	10213.8474	9224.345157	5512.625345	45203.14283	52451.28262	43123.00475	51448.59548	46746.77696	54287.20276	10805.53546	12051.19569	16084.33636	25340.48828	22574.76964	22323.19769	26774.61704	29215.86753	32500.08265	42461.76442	33417.66855	41931.57047	47346.67231	40310.13784	42501.431	77629.25574	67433.89596	63377.51548	27793.86075	43608.12423	36602.07067	44058.97623	29623.49944	0	36176.57439	29152.60322
5.55_129.0556	17483.22486	16594.72336	17575.79139	15947.52761	15953.52761	10849.80494	25522.76637	26714.62932	24154.6692	10272.55521	7845.16026	7144.170727	70347.25064	60135.84257	57492.76748	175248.6554	92243.03877	78411.34525	183453.9875	141354.27	128976.3549	190927.2669	174891.2994	175933.2136	444997.269	405811.6446	422245.0818	62415.97986	75891.55915	65433.38341	240231.9464	233095.9908	220267.7124	114613.6717	105021.4699	102053.6256	95368.41051	79214.3261	79626.13695	95191.70251	89418.49402	87869.40036	104236.1678	141512.9129	110788.0569	132624.1458	129748.2806	700906.8139	121887.6736	118786.6974
14.23_911.4516	0	0	0	0	0	21897.58817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15691.61344	11902.12898	0	21169.6199	18108.91181	14858.70956	25804.024	34204.82757	32498.2276	0	14212.38955	12055.20075	0	0	0	31752.40238	20744.14339	29083.81133	0	0	0	0	0	0	0	0
0.74_391.1012	302734.0974	261983.0605	270890.7876	474400.8101	474461.8101	452107.9731	50399.05101	43148.79706	45607.82982	195726.5874	149322.6806	137490.561	113191.7519	74757.34834	87289.24361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161340.86	125395.3547	114477.6326	135821.8774	111931.0961	0	115669.2858	100972.5678
8.70_837.3997	29518.21599	28398.28572	15277.28509	37636.57835	37680.57835	34967.19617	0	18839.54329	14622.50638	33918.04486	50868.38329	42693.58215	0	0	0	0	0	0	0	0	0	0	0	0	19.26580689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.77_827.2680	12933.35105	34222.67905	25841.92462	11189.83987	11323.83987	11462.78356	11237.53541	37983.48868	12052.76728	0	0	0	56230.65257	56291.80656	61329.39504	0	44686.78865	16020.17011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.90_191.0195	708874.7598	637109.0437	632644.8539	524271.6288	524165.6288	526083.0243	140187.31	121766.3837	118952.4603	265543.3139	255595.8229	241930.6387	112290.8484	87632.64472	96648.02287	337934.1761	260984.8712	271863.3375	61310.5607	59563.32841	58516.61582	63505.83741	50997.44616	68067.68313	50453.52717	52834.47891	62715.38112	60688.98428	25606.44872	61928.47757	56068.95693	60897.92071	63396.25213	67594.55154	71451.57399	71544.66189	78829.57461	87858.1916	87889.85684	66790.89655	72993.27182	63307.08879	300327.744	399363.4799	236317.9553	296015.5135	210056.6168	0	234726.3628	221165.0775
0.68_127.0518	12454.36524	7178.496283	9795.667307	11175.66443	11259.66443	4941.478737	38319.99581	10166.08927	27623.65699	12974.28749	12006.73338	10116.81153	0	9985.061666	746.1729681	19505.56847	12178.31137	6918.584138	2871.618563	0	1098.203926	4909.674377	2832.462246	2239.869441	4956.920478	1215.550925	3973.828692	1743.676692	0	2098.899766	9.687328928	1389.992197	0	0	1632.304794	0	2205.864649	0	2124.476885	0	2739.509742	3767.085766	5538.244099	6731.564766	4451.070272	7896.772459	4976.337478	0	5471.048583	5459.60083
0.74_157.0365	99982.14375	89809.39048	86769.93651	6021.766495	5840.766495	4633.866712	20329.05174	14404.38028	15429.29983	38416.86454	31351.80728	26056.91248	16925.01334	11250.63824	17589.88247	29718.41835	27028.55698	22371.03229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	783.7438442	0	0	0	0	0	0	0	30173.31931	32072.98625	15718.28597	30345.20041	16625.79513	0	16786.76364	21108.06838
1.01_145.0142	29825.76879	23479.59192	27166.38861	20845.52413	20699.52413	9989.163896	66264.40866	55014.92989	61568.11342	39844.68051	34561.94958	32636.09746	119496.1592	97022.67896	93001.21263	162596.2708	153161.9627	148477.5112	83236.53763	79729.29535	83269.03746	757609.7521	781007.4953	687677.8862	1251406.394	1230930.895	1125100.198	103469.3953	110506.5695	100532.8099	497085.6488	471465.9166	362560.224	216620.1617	179493.0989	149868.1129	258403.1885	219786.3893	209415.5236	83372.18302	96877.66337	85254.55954	347550.5975	421517.0687	321910.7494	431430.7562	351889.2323	15983.94525	332563.5484	306223.7539
